Div,Branch,OAM,UpdateDate,LeadType,LeadSpecifics,Customer,Type,New,"City, St",ProjectOpportunity,KeyVendor,TechnologiesServices Proposed,PotentialValue,ProbPercent,CustomerCompelingEvent,Stage,YourNextBIGStep,ExpectedOrderDate,Notes
18,Austin,John Dodge,5/19/2020,Vendor,Metso Project Sales Lead,"Central Texas Industrial, LLC",OEM,New Cust,"Cedar Creek, TX",CUB 1 LT PCV REP (addition),JV,Valve Assemblies,"$7,753",75%,,Quoting,Contact Rickey at SAS re: which contractor was selected and follow-up,8/1/2020,Change order to existing project
18,Austin,John Dodge,5/19/2020,AWC Internal,"BestFest lead, followed up and came to Siemens digital factory workshop",DMS,OEM,New Cust,"Austin, TX",Semiconductor Tool Upgrades,SC,PLC/MHI,"$45,000",75%,,Discovery (S.P.I.N.),Coordinate Mtg w/ DMS & Entegris,7/15/2020,Continued releases of new tools
18,Austin,John Dodge,5/19/2020,AWC Internal,Metso Marketing Campaign Lead,DSI,Contractor,Existing Cust,"Austin, TX",University of Texas Utilities Building ,ME,"qty 4 16"" HPV and qty 1 36"" HPV","$84,867",60%,,Quoting,Zoom mtg with Project Mgr re: schedule and cost,6/30/2020,Pre-construction approved and awaiting project release
18,Austin,John Dodge,5/13/2020,Vendor,Metso Project Sales Lead,ICU Medical,End User,Existing Cust,"Austin, TX",Waste Water Well Head Upgrade,SL,StoneL Axiom,"$10,000",25%,,Discovery (S.P.I.N.),Contact Adam Baker on WW expansion,10/15/2020,New lead from StoneL for Q3 2020 upgrade
18,Austin,John Dodge,5/13/2020,AWC Internal,Introduced Patti to Urban at Bestfest,Patti Engr,Integrator,Existing Cust,"Austin, TX",Urban Mining Phase 2 Network,SC,Managed switches,"$55,000",75%,,Discovery (S.P.I.N.),Schedule FAT of Phase I and bid Phase II,9/1/2020,Patti is completing P1 and should be ordering P2 by end of August
18,Austin,John Dodge,5/13/2020,Customer,Valve Retrofit,Prime Controls,Integrator,Existing Cust,"Austin, TX",SITE-PA02 CDA (Change Order),"JV, WI",Valve Assemblies,"$27,500",90%,,Quoting,Schedule Deer Park Work Order,6/1/2020,
18,Austin,John Dodge,5/13/2020,Customer,Bid Package for Control Valves,Samsung,End User,Existing Cust,"Austin, TX",Cooling Tower 02 Expansion Project,"JV, WI, Rotork",Valve Assemblies,"$333,404",75%,,Discovery (S.P.I.N.),"Mtg with SAS/SECAI to determine ""Pre-Order"" Long lead items for constructin",9/1/2020,Part of major Cool Tower expansion
18,Austin,John Dodge,5/14/2020,AWC Internal,"Customer saw DTL demo, had AWC build one for them and added vibration system",Samsung,End User,Existing Cust,"Austin, TX",FAB1 Vibration Monitoring System,BN,"Sensors, Nodes and Master controller (IIOT)","$18,000",75%,,Quoting,Follow-up on bid submitted last week to determine schedule,7/15/2020,Prototype system for bearing vibration monitoring
18,Austin,John Dodge,5/14/2020,Vendor,Rittal Lead,Samsung,End User,Existing Cust,"Austin, TX",TS8 Rittal Hood Upgrade,RT,Vent Hoods (46) ,"$11,040",100%,,Won,PO received and now bidding fan filters,5/20/2020,Order just received and shipping end of May
18,Austin,John Dodge,5/13/2020,Vendor,StoneL lead,Solaris Oilfield Infrastructure,OEM,New Cust,"Early, TX",Compressed Air station,SL,StoneL Valve Assemblies,"$44,226",75%,,Quoting,Site visit with Metso to review ASI network architecture,7/1/2020,New Product being developed 
